Vendor ID,Vendor name,Service Id,Service Name
488,Navroop Yoga,3986,Navroop Yoga
490,Shree Hariom Yoga,5671,Traditional Yoga 
493,Daminis Yoga Classes,4820,Traditional Yoga 
495,Jivan Deep Yoga Centre,4825,Traditional Yoga 
497,Atha Yoga Classes,4827,Ashtanga Yoga 
498,Karnala Sports Academy and Swimming Pool,11091,Swimming
503,Alok Yoga Classes,4632,Power Yoga
504,Shilpas wellness,4832,Traditional yoga 
515,Max Gymnasium,4739,Gym
520,Penkar's Health Club,5551,Gym
520,Penkar's Health Club,5659,Weight Loss Plan 
520,Penkar's Health Club,5661,Weight Gain 
521,Body Basics,5444,Gym
521,Body Basics,5451,Aerobics
521,Body Basics,5455,Power Yoga
521,Body Basics,5460,Crossfit
521,Body Basics,5461,Circuit Training
521,Body Basics,5463,TAG
521,Body Basics,7435,Combine Training
523,Active Gym,11092,Gym
523,Active Gym,13975,Personal Training
523,Active Gym,13976,Bodybuilding Personal Training
530,Chakra Project,4362,Yoga 
535,Richa Yoga Classes,4885,Power Yoga
536,Shivam Yoga,4640,Traditional Yoga 
537,Deepak Chabria Yoga Classes,4534,Power Yoga
541,Chandrahas Suresh Narvekar,4405,Personal Training
542,Prachin Yoga,4412,Traditional  Yoga
544,In Shape Gym,6183,Gym Workout
547,Elite Fitness,2256,Gym Workout
547,Elite Fitness,7288,Weight Training
547,Elite Fitness,15675,Personal Training
547,Elite Fitness,15676,Gym + Cardio Workout
549,Body Point Fitness Centre,7278,Gym+Cardio
549,Body Point Fitness Centre,7280,Weight Training
550,Focus The fitness,15378,Gym Workout
551,Fitness Gym,15395,Gym Workout
552,Iron Fitness,2337,Gym Workout
552,Iron Fitness,8504,Zumba
554,Ikon Wellness Pvt. Ltd.,2258,Gym Workout
555,Jennifer Dhuri,9925,Nutrition Counselling 
555,Jennifer Dhuri,10554,Obesity Consultation
555,Jennifer Dhuri,10555,Weight Gain Consultation
555,Jennifer Dhuri,10556,Sports Nutrition
559,Anjum Shaikh,9926,Nutrition Counselling
561,Rubiinus Fitness and Spa,738,Gym Workout all
561,Rubiinus Fitness and Spa,741,Zumba Classes
561,Rubiinus Fitness and Spa,742,Yoga Classes
561,Rubiinus Fitness and Spa,743,Power Yoga Classes
561,Rubiinus Fitness and Spa,744,Contemporary and Jazz Classes
561,Rubiinus Fitness and Spa,745,Ballet Classes
561,Rubiinus Fitness and Spa,7578,Spinning
561,Rubiinus Fitness and Spa,8593,Swimming (Non Members)
561,Rubiinus Fitness and Spa,9169,Group X Activities
561,Rubiinus Fitness and Spa,11649,Gym Workout
561,Rubiinus Fitness and Spa,11650,Gym + Swimming Renewal
561,Rubiinus Fitness and Spa,11701,Zumba
561,Rubiinus Fitness and Spa,11702,LVG Yoga
561,Rubiinus Fitness and Spa,11703,MMA/Kick Boxing
561,Rubiinus Fitness and Spa,11704,Functional Training
561,Rubiinus Fitness and Spa,11705,Life Force Strength
561,Rubiinus Fitness and Spa,11706,Tribo
